name,image,house,houseImage,start,end,endReason,religion,JA_events,JA_wars,JA_relationships,border
Charles VII,img/france/charles_vii.jpg,Valois,img/houses/valois.png,1422,1461,"Infection, 58",Roman Catholic,"Disinherited by father in favor of Henry V of England|
Reclaimed Paris and northern France with help of Joan of Arc|
Ended the civil war between houses of Valois and Orleans","Hundred Years' War, 1337-1453|
Armagnac-Burgundian Civil War",,img/borders/france/1461.jpg
Louis XI,img/france/louis_xi.jpg,Valois,img/houses/valois.png,1461,1483,"Arteriosclerosis, 60",Roman Catholic,"Faced an alliance of Burgundy, Brittany, and England|
Dismantled alliance, finally killing Duke of Burgundy in battle|
Ended reign with Burgundy, Picardy, Boulonnais, and Artois","Praguerie, France, 1440","Italy, Charlotte of Savoy, Wife, img/italy/charlotte_savoy.jpg",img/borders/france/1483.jpg
Charles VIII,img/france/charles_viii.jpg,Valois,img/houses/valois.png,1483,1498,"Injury, 27",Roman Catholic,"Married Anne of Brittany to prevent encirclement by Habsburgs|
Forfeited Artois and Franche-Comté acquired through Margaret|
Pressed claim on Angevin Naples, triggering Italian Wars","Mad War, France, 1485-8|
Italian Wars, Italy, 1494-8","Holy Roman Empire, Margaret of Austria, Betrothed, img/hre/margaret_of_austria.jpg|
Brittany, Anne, Wife, img/france/anne_of_brittany.jpg|
Naples, Marie of Anjou, Grandmother, img/italy/marie_of_anjou.jpg",img/borders/france/1483.jpg
Louis XII,img/france/louis_xii.jpg,Valois-Orleans,img/houses/valois.png,1498,1515,"Gout, 52",Roman Catholic,"Duke of Orleans, second-cousin and brother-in-law to king|
Conquered Milan but lost Naples to Ferdinand II of Aragon|
Defeated in Milan & Artois by Swiss and Burgundy by Henry VIII","Second Italian War, 1499-1504|
Third Italian War, 1508-16","Brittany, Anne, Wife, img/france/anne_of_brittany.jpg|
England, Mary Tudor, Wife, img/england/mary_tudor.jpg",img/borders/france/1483.jpg
Francis I,img/france/francis_i.jpg,Valois-Angouleme,img/houses/valois.png,1515,1547,"Unspecified, 52",Roman Catholic,"Cousin and son-in-law to Louis XII, first of Angoulême branch|
Defeated Milan; with riches, copied an Italian renaissance court|
Imprisoned by Emperor Charles V, gave up Italy for his release","Italian Wars, Venice, 1508-16","Scotland, James V, Son-in-law, img/scotland/james_v.jpg|
Italy, Duke of Savoy, Son-in-law, img/italy/emmanuel_of_savoy.jpg",img/borders/france/1547.jpg
Henry II,img/france/henry_ii.jpg,Valois-Angouleme,img/houses/valois.png,1547,1559,"Jousting, 40",Roman Catholic,"Developed a court system between local justices and high court|
Supported German Protestants against Emperor Charles V|
Systematically persecuted French Protestants","Italian Wars, 1551-9","Florence, Catherine de' Medici, Wife, img/italy/catherine_de_medici.jpg",img/borders/france/1547.jpg
Francis II,img/france/francis_ii.jpg,Valois-Angouleme,img/houses/valois.png,1559,1560,"Ear condition, 16",Roman Catholic,"Used by the Guises, wife's uncle, to quell the Huguenot forces|
Faced capture by Huguenot Bourbons to end Guise influence|
Forced to sign Treaty of Edinburgh: end of Scottish influence","French Wars of Religion, 1562-98","Scotland, Mary Queen of Scots, Wife, img/scotland/mary.jpg|
Florence, Catherine de' Medici, Mother, img/italy/catherine_de_medici.jpg",img/borders/france/1560.jpg
Charles IX,img/france/charles_ix.jpg,Valois-Angouleme,img/houses/valois.png,1560,1574,"Tuberculosis, 23",Roman Catholic,"Planned intervention on behalf of Protestants against Spain|
Remained under influence of mother, Catherine de Medicis|
On her advice, allowed a massacre of 3,000 Protestants in Paris","French Wars of Religion, 1562-98","Florence, Catherine de' Medici, Mother, img/italy/catherine_de_medici.jpg|
Holy Roman Empire, Maximilian II, Father-in-law, img/hre/maximillian_ii.jpg",img/borders/france/1560.jpg
Henry III,img/france/henry_iii.jpg,Valois-Angouleme,img/houses/valois.png,1574,1589,Assassinated,Roman Catholic,"Placed on Polish throne by mother, resigned when brother died|
Holy League formed against Huguenot successor, Henry IV|
Forced by League, which had rebelled, into alliance with Henry","French Wars of Religion, 1562-98|
War of the Three Henrys, 1587-9",,img/borders/france/1560.jpg
Henry IV,img/france/henry_iv.jpg,Bourbon,img/houses/bourbon.png,1589,1610,Assassinated,"Protestant, then Catholic","First Bourbon, leader of Huguenot forces as King of Navarre|
Huguenots massacred on the day of his appeasement marriage|
Fought Holy League but converted to claim and unify the throne","French Wars of Religion, 1562-98|
Franco-Spanish War, 1595-8|
Franco-Savoyard War, 1600-1","Florence, Marie de Medici, Wife, img/italy/marie_de_medici.jpg",img/borders/france/1560.jpg
Louis XIII,img/france/louis_xiii.jpg,Bourbon,img/houses/bourbon.png,1610,1643,"Tuberculosis, 41",Roman Catholic,"While wars of religion had ended, still faced Huguenot rebellions|
Invading Italy, France entered Thirty Years War against Spain|
Defeated Spain, establishing France as a global superpower","Thirty Years' War, 1635-48","Spain, Anne of Austria, Wife, img/spain/anne_of_austria.jpg",img/borders/france/1643.jpg
Louis XIV,img/france/louis_xiv.jpg,Bourbon,img/houses/bourbon.png,1643,1715,"Gangrene, 76",Roman Catholic,"Extended eastern borders at the expense of Austrian Habsburgs|
Defeated hostile Spanish coalition to secure throne for grandson|
Known as the Sun King, led a revival of culture and grandeur","Franco-Dutch War, 1672-8|
Nine Years' War, 1688-97|
War of the Spanish Succession","Spain, Maria Theresa, Wife, img/spain/maria_theresa.jpg",img/borders/france/1715.jpg
Louis XV,img/france/louis_xv.jpg,Bourbon,img/houses/bourbon.png,1715,1774,"Smallpox, 64",Roman Catholic,"Lost all colonial possessions in Americans and India to British|
Gained nothing from Austria or Russia during partition of Poland|
Through ineffective wars, set the stage for the French Revolution","War of Polish Succession, 1733|
War of Austrian Succession, 1740|
Seven Years' War, 1756-1763","Poland, Stanislaw I, Father-in-law, img/poland/stanislaw.jpg",img/borders/france/1715.jpg
Louis XVI,img/france/louis_xvi.jpg,Bourbon,img/houses/bourbon.png,1774,1792,Executed,Roman Catholic,"Financed American revolution, leaving country deeply in debt|
Forced to accept National Assembly and constitutional monarchy|
Soliciting intervention, convicted of treason by French Republic","American Revolution, 1776-1783|
French Revolution, 1789-1792","Holy Roman Empire, Maria Josepha of Saxony, Mother, img/hre/maria_josepha.jpg|
Holy Roman Empire, Marie Antoinette, Wife, img/hre/marie_antoinette.jpg",img/borders/france/1792.jpg
Napoleon I,img/france/napoleon_i.jpg,Bonaparte,img/houses/bonaparte.png,1804,1814,Abdicated,Deist,"Rose from soldier to general to consul to emperor over 11 years|
Defeated series of coalitions, collapsing the Holy Roman Empire|
Lost army invading Russia, turning tide and was exiled to Elba","French Revolution, 1787-92|
Napoleonic Wars, 1803-15","Spain, Joseph Bonaparte, Brother, img/spain/joseph_bonaparte.jpg|
Austria, Francis I, Father-in-law, img/hre/francis_ii.jpg",img/borders/france/1812.jpg
Louis XVIII,img/france/louis_xviii.jpg,Bourbon,img/houses/bourbon.png,1814,1815,Deposed,Roman Catholic,"Exiled in revolution, wandered Europe promoting royalist cause|
As Napoleon fell, promised to honor the republic's reforms|
Restored by Talleyrand, coalition, and war-weary Parisians",,"Savoy, Marie Josephine, Wife, img/italy/marie_josephine.jpg",img/borders/france/1815.jpg
Napoleon I ,img/france/napoleon_i.jpg,Bonaparte,img/houses/bonaparte.png,1815,1815,Deposed,Deist,"Frustrated by Bourbon Restoration and Congress of Vienna|
Escaped, gathered forces, and marched on Paris to applause|
Defeated at Waterloo by coalition and banished to St. Helena","War of the 7th Coalition, 1815","Spain, Joseph Bonaparte, Brother, img/spain/joseph_bonaparte.jpg|
Austria, Francis I, Father-in-law, img/hre/francis_ii.jpg",img/borders/france/1815.jpg
Louis XVIII ,img/france/louis_xviii.jpg,Bourbon,img/houses/bourbon.png,1815,1824,"Gout, 68",Roman Catholic,"Fled during the Hundred Day's War, returning after Waterloo|
Gave Parliament control over laws and budget with his approval|
Resisted the ultraroyalists in favor of healing the country",,"Savoy, Marie Josephine, Wife, img/italy/marie_josephine.jpg",img/borders/france/1815.jpg
Charles X,img/france/charles_x.jpg,Bourbon,img/houses/bourbon.png,1824,1830,Deposed,Roman Catholic,"Reimposed death penaly for sacrilege during first government|
In second government, supported ultraroyalist clericalists|
Deposed, naming grandson heir and Louis-Philippe general","French conquest of Algeria, 1830","Savoy, Marie Theresa, Wife, img/italy/marie_therese.jpg",img/borders/france/1815.jpg
Louis Philippe I,img/france/louis_philippe.jpg,Orleans,img/houses/orleans.png,1830,1848,Deposed,Roman Catholic,"Popular with republicans and Bonaparists, given a vacant throne|
Seen as a citizen king, favored the bourgeoisie over aristocracy|
Refusing any election reform, deposed in 1848 wave of socialism",,"Belgians, Leopold I, Son-in-law, img/belgians/leopold_i.jpg",img/borders/france/1848.jpg
Napoleon III,img/france/napoleon_iii.jpg,Bonaparte,img/houses/bonaparte.png,1852,1870,Deposed,Roman Catholic,"Elected President of Second Republic after Revolution of 1848|
Declared himself Emperor under the Second French Empire|
Deposed after defeat in the Franco-Prussian War","Crimean War, Russia, 1853-6|
Franco-Prussian War, 1870",,img/borders/france/1870.jpg
