name,image,house,houseImage,start,end,endReason,religion,JA_events,JA_wars,JA_relationships,border
Ferdinand VII,img/spain/ferdinand_vii.jpg,Bourbon,img/houses/bourbon.png,1808,1808,Deposed,Roman Catholic,"Ascended throne during popular revolt against father Charles IV|
Turned to Napoleon for support, who then imprisoned him in France",,,img/borders/spain/1808.jpg
Joseph Bonaparte,img/spain/joseph_bonaparte.jpg,Bonaparte,img/houses/bonaparte.png,1808,1813,Abdicated,Roman Catholic,"Ascended throne after being King of Naples and Sicily|
Unpopularly seen as secular, a foreigner, and a Freemason|
Returned to France after the defeat of Napoleon's forces","Napoleonic Wars, 1803-15
",,img/borders/spain/1812.jpg
Ferdinand VII ,img/spain/ferdinand_vii.jpg,Bourbon,img/houses/bourbon.png,1813,1833,"Unspecified, 48",Roman Catholic,"Re-installed by Bonaparte through the Treaty of Valençay|
Napoleonic-era Congress of 1812 pressed for constitutional monarchy|
Captured by partisans but freed by French Bourbon intervention",Mexican War of Independence,,img/borders/spain/1833.jpg
Isabella II,img/spain/isabella_ii.jpg,Bourbon,img/houses/bourbon.png,1833,1868,Deposed,Roman Catholic,"Contested by Carlists who refused to recognize a female heir|
Replaced during Glorious Revolution with son of Italian king|
Would-be Prussian heir caused France to declare war on Prussia","Carlist Wars, 1833-49|
Hispano-Moroccan War, 1859|
Chincha Islands War, 1864-6","Two Sicilies, Francis I, Grandfather, img/italy/francis_i.jpg|
Spain, Francisco de Paula, Uncle and father-in-law, img/spain/francisco_de_paula.jpg",img/borders/spain/1833.jpg
Amadeo I,img/spain/amadeo.jpg,Savoy,img/houses/savoy.png,1870,1873,Abdicated,Roman Catholic,"Installed by military council, then contested by the Carlists|
With no popular support, abdicated after assassination attempt|
After abdication, Spain was proclaimed the First Spanish Republic","Third Carlist War, 1872-6","Italy, Victor Emmanuel II, Father, img/italy/victor_emmanuel_ii.jpg",img/borders/spain/1833.jpg
Alfonso XII,img/spain/alfonso_xii.png,Bourbon,img/houses/bourbon.png,1874,1885,"Tuberculosis, 27",Roman Catholic,"Returned from exile following a military coup against the Republic|
Defeated the Carlist pretender Charles V, ending the Carlist revolts","Third Carlist War, 1872-6","Two Sicilies, Don Carlos, Son-in-law, img/italy/carlos_two_sicilies.jpg",img/borders/spain/1833.jpg
Alfonso XIII,img/spain/alfonso_xiii.jpg,Bourbon,img/houses/bourbon.png,1886,1931,Abdicated,Roman Catholic,"Born posthumously to Alfonso XII; regency held by mother|
Lost rule over Cuba, Puerto Rico, Guam, and the Philippines|
Abdicated after municipal elections signaled the end of monarchy","Rif War, Morocco, 1920-7|
Spanish-American War, 1898","Austria, Maria Christina, Mother, img/austria/maria_christina.jpg|
England, Victoria Eugenie, Wife, img/spain/victoria_eugenia.jpg",img/borders/spain/1930.jpg
Francisco Franco,img/spain/franco.jpg,Franco,img/houses/franco.png,1936,1975,"Coma, 82",Roman Catholic,"Decorated military general in the years before the Second Republic|
Led the far-right forces to victory in the Spanish Civil War|
A repressive fascist, styled himself Caudillo & re-established monarchy|
Following economic boom, Spanish Miracle, began to support liberalization|
Without heir, named conservative grandson of Alfonso XIII his successor","Spanish Civil War, 1936-9|
Ifni War, Morocco, 1957-8",,img/borders/spain/1833.jpg
Juan Carlos I,img/spain/juan_carlos.jpg,Bourbon,img/houses/bourbon.png,1975,2014,Abdicated,Roman Catholic,"Dismantled Francoist regime, creating democracy and constitution|
Reconfirmed support for democracy after foiling Francoist coup|
Following a series of family scandals, abdicated in favor of his son",,"Greece, Sofia, Wife, img/greece/sofia.jpg",img/borders/spain/1833.jpg
Felipe VI,img/spain/felipe_vi.jpg,Bourbon,img/houses/bourbon.png,2014,2019, ,Roman Catholic,,,,img/borders/spain/1833.jpg
